"country","med.age","perc.1dollar","perc.basic2015sani","perc.safe2015sani","perc.basic2015water","perc.safe2015water","perc.in.school","female.in.school","male.in.school"
"United Arab Emirates",30,,100,93,100,,,,
"United Kingdom of Great Britain and Northern Ireland",40.2,1,99,98,100,96,99.44439,99.65378,99.24457
"United Republic of Tanzania",17.5,43.5,24,,50,,,,
"United States of America",37.4,1,100,89,99,99,95.57265,96.26928,94.90529
"Uruguay",34.4,1,96,64,99,,93.08955,94.15098,92.07206
"Uzbekistan",25.3,,100,,,,91.8608,91.32157,92.37583
"Vanuatu",21.7,,53,,91,,83.91766,84.24435,83.62023
"Venezuela (Bolivarian Republic of)",27,,95,19,97,,87.72761,88.18993,87.28386
"Viet Nam",29.8,2.4,78,,91,,,,
"Yemen",19.1,,60,,70,,,,
"Zambia",16.6,74.3,31,,61,,,,
"Zimbabwe",19.5,,39,,67,,,,
